"시도별",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"시도별",파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",16347,462695,14325,2872,411415,2022,2536,51280,11286,3015,340229,9935,3077,305726,1351,2554,34503,5061,2420,122466,4390,2407,105689,671,2500,16777,23911,6649,1589957,14912,399798,13123,2697,353955,1789,2562,45843,9655,2769,267343,8401,2793,234636,1254,2608,32707,5257,2520,132455,4722,2527,119319,535,2455,13136,18015,6072,1093932,15204,409859,13028,2714,353620,2176,2585,56239,10396,3001,312009,8646,3062,264711,1750,2703,47298,4808,2035,97850,4382,2029,88909,426,2099,8941,19896,6528,1298749
"서울특별시",2,40,2,2000,40,0,0,0,2,2000,40,2,2000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,2000,20,0,0,0,1,2000,20,1,2000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,575,23,2000,460,3,3833,115,26,2212,575,23,2000,460,3,3846,115,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",632,17742,569,2872,16340,63,2225,1402,510,2890,14740,447,2984,13338,63,2226,1402,122,2461,3002,122,2461,3002,0,0,0,16,7271,1163,650,17707,645,2737,17652,5,1100,55,554,2782,15412,554,2782,15412,0,0,0,96,2391,2295,91,2461,2240,5,1109,55,17,6584,1119,562,14247,464,2603,12077,98,2214,2170,498,2581,12851,402,2670,10733,96,2206,2118,64,2181,1396,62,2167,1344,2,2585,52,21,7445,1564
"대구광역시",79,2421,66,3229,2131,13,2231,290,60,3425,2055,59,3429,2023,1,3168,32,19,1926,366,7,1537,108,12,2151,258,120,6089,7307,42,1218,36,3022,1088,6,2167,130,37,3049,1128,33,3155,1041,4,2172,87,5,1800,90,3,1558,47,2,2151,43,63,4328,2727,241,5826,232,2400,5567,9,2878,259,236,2436,5748,227,2418,5489,9,2873,259,5,1560,78,5,1569,78,0,0,0,217,7108,15425
"인천광역시",186,4430,153,2312,3537,33,2706,893,164,2374,3894,136,2284,3106,28,2813,788,22,2436,536,17,2538,431,5,2090,105,33,4072,1344,276,6364,192,2155,4138,84,2650,2226,234,2291,5361,162,2099,3400,72,2723,1961,42,2388,1003,30,2459,738,12,2211,265,25,2833,708,128,2771,93,1941,1805,35,2760,966,108,2184,2359,74,1902,1407,34,2800,952,20,2060,412,19,2096,398,1,1389,14,35,6046,2116
"광주광역시",1,19,1,1900,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1900,19,1,1909,19,0,0,0,83,6628,5501,2,56,2,2800,56,0,0,0,2,2800,56,2,2806,56,0,0,0,0,0,0,0,0,0,0,0,0,93,6603,6140,6,129,2,2850,57,4,1800,72,2,2850,57,2,2835,57,0,0,0,4,1800,72,0,0,0,4,1796,72,43,5700,2451
"대전광역시",26,488,23,1722,396,3,3067,92,20,1890,378,18,1732,312,2,3280,66,6,1833,110,5,1679,84,1,2625,26,4,6628,265,9,144,9,1600,144,0,0,0,7,1686,118,7,1690,118,0,0,0,2,1300,26,2,1280,26,0,0,0,1,5707,57,45,814,42,1752,736,3,2600,78,36,1819,655,34,1770,602,2,2631,53,9,1767,159,8,1681,134,1,2528,25,2,6270,125
"울산광역시",31,599,31,1932,599,0,0,0,15,1513,227,15,1514,227,0,0,0,16,2325,372,16,2323,372,0,0,0,62,5646,3500,15,259,15,1727,259,0,0,0,11,1509,166,11,1508,166,0,0,0,4,2325,93,4,2323,93,0,0,0,36,5167,1860,30,550,26,1746,454,4,2400,96,19,1547,294,17,1473,250,2,2178,44,11,2327,256,9,2264,204,2,2585,52,19,7445,1415
