AGCODE	WEIGHT	PRICE	YEAR				AGCODE		AGCODE
오이	"12,098,425"	"4,246,672"	2015년10월						
풋고추	0	0	2015년10월						
감자	"158,569"	"441,249"	2014년11월						
고구마	"136,400"	"135,306"	2014년11월						
감자	"263,525"	"797,683"	2015년11월						
고구마	"161,816"	"144,078"	2015년11월						
사과	"54,708"	"80,368"	2015년11월						
시금치	8	97	2015년11월						
무	"3,220,709"	"778,843"	2015년11월						
당근	"83,278,411"	"39,094,510"	2015년11월						
오이	"13,119,830"	"4,585,923"	2015년11월						
풋고추	0	0	2015년11월						
감자	"158,584"	"441,309"	2014년12월						
고구마	"146,817"	"145,768"	2014년12월						
사과	1	7	2014년12월						
시금치	11	44	2014년12월						
무	"8,286,018"	"2,281,873"	2014년12월						
당근	"94,624,393"	"42,381,835"	2014년12월						
오이	"16,891,814"	"6,984,487"	2014년12월						
풋고추	1	9	2014년12월						
감자	"324,563"	"967,442"	2015년12월						
고구마	"161,816"	"144,078"	2015년12월						
사과	"80,594"	"135,684"	2015년12월						
시금치	11	151	2015년12월						
무	"4,682,269"	"1,109,419"	2015년12월						
당근	"92,318,578"	"42,777,282"	2015년12월						
오이	"14,301,730"	"4,994,958"	2015년12월						
풋고추	2	25	2015년12월						
감자	"47,338"	"131,558"	2016년01월						
고구마	0	0	2016년01월						
사과	"12,466.60"	"17,523"	2016년01월						
시금치	17	312	2016년01월						
무	"359,890"	"77,934"	2016년01월						
당근	"5,631,810"	"2,000,760"	2016년01월						
오이	"1,130,400"	"388,444"	2016년01월						
풋고추	0	0	2016년01월						
감자	3.7	49	2017년01월						
고구마	0	0	2017년01월						
사과	0	0	2017년01월						
시금치	0	0	2017년01월						
무	"1,046,830"	"205,871"	2017년01월						
당근	"5,345,870"	"2,612,649"	2017년01월						
오이	"878,000.10"	"275,656"	2017년01월						
풋고추	0	0	2017년01월						
감자	"92,676.40"	"257,337"	2016년02월						
고구마	0	0	2016년02월						
사과	"24,933.20"	"34,640"	2016년02월						
시금치	30	564	2016년02월						
무	"378,226"	"86,178"	2016년02월						
당근	"11,997,980.70"	"4,508,967"	2016년02월						
오이	"2,035,600"	"704,816"	2016년02월						
감자	3.7	49	2017년02월						
고구마	0	0	2017년02월						
사과	0	0	2017년02월						
시금치	0	0	2017년02월						
무	"1,615,870"	"310,558"	2017년02월						
당근	"11,049,540"	"5,371,377"	2017년02월						
오이	"1,799,500.10"	"586,305"	2017년02월						
감자	"139,646.90"	"387,180"	2016년03월						
고구마	0	0	2016년03월						
사과	"24,933.20"	"34,640"	2016년03월						
시금치	35	660	2016년03월						
무	"416,026"	"94,729"	2016년03월						
당근	"23,429,001.50"	"9,532,741"	2016년03월						
오이	"3,245,800"	"1,140,097"	2016년03월						
감자	3.7	49	2017년03월						
고구마	0	0	2017년03월						
사과	0	0	2017년03월						
시금치	0	0	2017년03월						
무	"2,691,670"	"538,590"	2017년03월						
당근	"22,799,655.44"	"10,210,631"	2017년03월						
오이	"3,000,460.10"	"985,051"	2017년03월						
감자	"170,537"	"472,644"	2016년04월						
고구마	0	0	2016년04월						
사과	"30,873.20"	"44,527"	2016년04월						
시금치	38	720	2016년04월						
무	"535,682"	"121,777"	2016년04월						
당근	"31,967,331.50"	"13,559,641"	2016년04월						
오이	"4,209,240"	"1,456,747"	2016년04월						
감자	3.7	49	2017년04월						
고구마	"3,460"	"6,034"	2017년04월						
사과	0	0	2017년04월						
시금치	0.9	13	2017년04월						
무	"2,872,770"	"582,633"	2017년04월						
당근	"32,157,431.44"	"13,717,257"	2017년04월						
